"qp2.auc","qp2.task.id"
0.90320197044335,"Comportamental"
0.921428571428571,"Comportamental"
0.923797123015873,"Comportamental"
0.911206896551724,"Comportamental"
0.906896551724138,"Comportamental"
0.936514778325123,"Comportamental"
0.918526785714286,"Comportamental"
0.896672716273442,"Comportamental"
0.919022817460317,"Comportamental"
0.911083743842365,"Comportamental"
0.87140376984127,"Comportamental"
0.9064039408867,"Comportamental"
0.957204433497537,"Comportamental"
0.89987684729064,"Comportamental"
0.904203869047619,"Comportamental"
0.90205686630369,"Comportamental"
0.929433497536946,"Comportamental"
0.949507389162562,"Comportamental"
0.948970734126984,"Comportamental"
0.90621921182266,"Comportamental"
0.935019841269841,"Comportamental"
0.944581280788177,"Comportamental"
0.87967332123412,"Comportamental"
0.8810960591133,"Comportamental"
0.921243842364532,"Comportamental"
0.887746305418719,"Comportamental"
0.936083743842364,"Comportamental"
0.913054187192118,"Comportamental"
0.916976686507937,"Comportamental"
0.919518849206349,"Comportamental"
0.94500248015873,"Comportamental"
0.925923645320197,"Comportamental"
0.896490147783251,"Comportamental"
0.833620689655172,"Comportamental"
0.934113300492611,"Comportamental"
0.906773399014778,"Comportamental"
0.917410714285714,"Comportamental"
0.910218253968254,"Comportamental"
0.93448275862069,"Comportamental"
0.945812807881773,"Comportamental"
0.836699507389163,"Comportamental"
0.912684729064039,"Comportamental"
0.912512400793651,"Comportamental"
0.92807881773399,"Comportamental"
0.916995073891626,"Comportamental"
0.926662561576355,"Comportamental"
0.896577380952381,"Comportamental"
0.932389162561576,"Comportamental"
0.938656987295826,"Comportamental"
0.922061011904762,"Comportamental"
0.92746521476104,"Comportamental"
0.875369458128079,"Comportamental"
0.902529761904762,"Comportamental"
0.882820197044335,"Comportamental"
0.904002463054187,"Comportamental"
0.924231150793651,"Comportamental"
0.901477832512315,"Comportamental"
0.945258620689655,"Comportamental"
0.961330049261084,"Comportamental"
0.911892361111111,"Comportamental"
0.91375248015873,"Comportamental"
0.878325123152709,"Comportamental"
0.944334975369458,"Comportamental"
0.907266009852217,"Comportamental"
0.895874384236453,"Comportamental"
0.944519704433498,"Comportamental"
0.947048611111111,"Comportamental"
0.910586811857229,"Comportamental"
0.855220734126984,"Comportamental"
0.922721674876847,"Comportamental"
0.924417162698413,"Comportamental"
0.92335148215366,"Comportamental"
0.939593596059113,"Comportamental"
0.89987684729064,"Comportamental"
0.904017857142857,"Comportamental"
0.916256157635468,"Comportamental"
0.894704433497537,"Comportamental"
0.944334975369458,"Comportamental"
0.907800099206349,"Comportamental"
0.91871921182266,"Comportamental"
0.908990147783251,"Comportamental"
0.864025297619048,"Comportamental"
0.897352216748769,"Comportamental"
0.925307881773399,"Comportamental"
0.963789682539683,"Comportamental"
0.93145795523291,"Comportamental"
0.929802955665025,"Comportamental"
0.924199507389163,"Comportamental"
0.890086206896552,"Comportamental"
0.94171626984127,"Comportamental"
0.94051724137931,"Comportamental"
0.882750496031746,"Comportamental"
0.887958829365079,"Comportamental"
0.939655172413793,"Comportamental"
0.90923645320197,"Comportamental"
0.950030248033878,"Comportamental"
0.928819444444444,"Comportamental"
0.929310344827586,"Comportamental"
0.922290640394089,"Comportamental"
0.923645320197044,"Comportamental"
0.884440227703985,"Fisiológico"
0.956546489563567,"Fisiológico"
0.969070208728653,"Fisiológico"
0.916413662239089,"Fisiológico"
0.935483870967742,"Fisiológico"
0.96280834914611,"Fisiológico"
0.932637571157495,"Fisiológico"
0.939607843137255,"Fisiológico"
0.947817836812144,"Fisiológico"
0.942254901960784,"Fisiológico"
0.918785578747628,"Fisiológico"
0.962156862745098,"Fisiológico"
0.942409867172675,"Fisiológico"
0.951043643263757,"Fisiológico"
0.968121442125237,"Fisiológico"
0.976274509803922,"Fisiológico"
0.963377609108159,"Fisiológico"
0.910056925996205,"Fisiológico"
0.923339658444023,"Fisiológico"
0.933396584440228,"Fisiológico"
0.906831119544592,"Fisiológico"
0.901612903225806,"Fisiológico"
0.904554079696395,"Fisiológico"
0.94819734345351,"Fisiológico"
0.95180265654649,"Fisiológico"
0.904743833017078,"Fisiológico"
0.958627450980392,"Fisiológico"
0.935199240986717,"Fisiológico"
0.940098039215686,"Fisiológico"
0.969829222011385,"Fisiológico"
0.93415559772296,"Fisiológico"
0.912745098039216,"Fisiológico"
0.911385199240987,"Fisiológico"
0.974762808349146,"Fisiológico"
0.885980392156863,"Fisiológico"
0.912713472485769,"Fisiológico"
0.94022770398482,"Fisiológico"
0.979127134724858,"Fisiológico"
0.893738140417457,"Fisiológico"
0.975521821631879,"Fisiológico"
0.943137254901961,"Fisiológico"
0.924762808349146,"Fisiológico"
0.965085388994307,"Fisiológico"
0.923339658444023,"Fisiológico"
0.912239089184061,"Fisiológico"
0.981404174573055,"Fisiológico"
0.950094876660342,"Fisiológico"
0.95843137254902,"Fisiológico"
0.947438330170778,"Fisiológico"
0.952182163187856,"Fisiológico"
0.928273244781784,"Fisiológico"
0.955597722960152,"Fisiológico"
0.953320683111955,"Fisiológico"
0.952751423149905,"Fisiológico"
0.927609108159393,"Fisiológico"
0.941764705882353,"Fisiológico"
0.96034155597723,"Fisiológico"
0.871157495256167,"Fisiológico"
0.933137254901961,"Fisiológico"
0.973624288425047,"Fisiológico"
0.972485768500949,"Fisiológico"
0.926185958254269,"Fisiológico"
0.937571157495256,"Fisiológico"
0.932827324478178,"Fisiológico"
0.928273244781784,"Fisiológico"
0.942125237191651,"Fisiológico"
0.894686907020873,"Fisiológico"
0.96156862745098,"Fisiológico"
0.903921568627451,"Fisiológico"
0.950379506641366,"Fisiológico"
0.914705882352941,"Fisiológico"
0.975332068311195,"Fisiológico"
0.991271347248577,"Fisiológico"
0.959203036053131,"Fisiológico"
0.911385199240987,"Fisiológico"
0.910531309297913,"Fisiológico"
0.939848197343453,"Fisiológico"
0.879019607843137,"Fisiológico"
0.939607843137255,"Fisiológico"
0.936527514231499,"Fisiológico"
0.985009487666034,"Fisiológico"
0.992745098039216,"Fisiológico"
0.880929791271347,"Fisiológico"
0.939278937381404,"Fisiológico"
0.929601518026565,"Fisiológico"
0.942352941176471,"Fisiológico"
0.92011385199241,"Fisiológico"
0.947628083491461,"Fisiológico"
0.933396584440228,"Fisiológico"
0.947628083491461,"Fisiológico"
0.974003795066414,"Fisiológico"
0.934914611005693,"Fisiológico"
0.853889943074004,"Fisiológico"
0.98595825426945,"Fisiológico"
0.916698292220114,"Fisiológico"
0.924607843137255,"Fisiológico"
0.915939278937381,"Fisiológico"
0.974117647058824,"Fisiológico"
0.955977229601518,"Fisiológico"
0.88045540796964,"Fisiológico"
0.922413793103448,"Psíquico"
0.869278080258117,"Psíquico"
0.934563420044364,"Psíquico"
0.890199637023594,"Psíquico"
0.898366606170599,"Psíquico"
0.901111791105671,"Psíquico"
0.910465819721718,"Psíquico"
0.891409558378705,"Psíquico"
0.900080661423674,"Psíquico"
0.876835985312117,"Psíquico"
0.870437588223432,"Psíquico"
0.889493849566445,"Psíquico"
0.92473280903408,"Psíquico"
0.884099616858238,"Psíquico"
0.871277029783762,"Psíquico"
0.930127041742287,"Psíquico"
0.869933454325469,"Psíquico"
0.966034271725826,"Psíquico"
0.946057672917927,"Psíquico"
0.89120790481952,"Psíquico"
0.888004895960832,"Psíquico"
0.934260939705586,"Psíquico"
0.907037709215568,"Psíquico"
0.913490623109498,"Psíquico"
0.878050010082678,"Psíquico"
0.847511219910241,"Psíquico"
0.889544262956241,"Psíquico"
0.939856825972978,"Psíquico"
0.888485581770518,"Psíquico"
0.895644283121597,"Psíquico"
0.911070780399274,"Psíquico"
0.923976608187134,"Psíquico"
0.903100775193798,"Psíquico"
0.876688848558177,"Psíquico"
0.905323653962492,"Psíquico"
0.912179874974793,"Psíquico"
0.866656583988707,"Psíquico"
0.917431660546716,"Psíquico"
0.898568259729784,"Psíquico"
0.885914498890905,"Psíquico"
0.84835652349264,"Psíquico"
0.885505915952672,"Psíquico"
0.933051018350474,"Psíquico"
0.892316999395039,"Psíquico"
0.861179110567115,"Psíquico"
0.910566646501311,"Psíquico"
0.885964912280702,"Psíquico"
0.913641863278887,"Psíquico"
0.887729380923573,"Psíquico"
0.928009679370841,"Psíquico"
0.897862472272636,"Psíquico"
0.912790697674419,"Psíquico"
0.894888082274652,"Psíquico"
0.892115345835854,"Psíquico"
0.921001631986944,"Psíquico"
0.890401290582779,"Psíquico"
0.855011090945755,"Psíquico"
0.916112119378907,"Psíquico"
0.911625327687034,"Psíquico"
0.947872554950595,"Psíquico"
0.894634842921257,"Psíquico"
0.923976608187134,"Psíquico"
0.888989715668482,"Psíquico"
0.903004638031861,"Psíquico"
0.907639738882089,"Psíquico"
0.919388989715669,"Psíquico"
0.914297237346239,"Psíquico"
0.909407138535995,"Psíquico"
0.870639241782617,"Psíquico"
0.896098003629764,"Psíquico"
0.877753977968176,"Psíquico"
0.906029441419641,"Psíquico"
0.877041742286751,"Psíquico"
0.875882234321436,"Psíquico"
0.952409760032265,"Psíquico"
0.877898769913289,"Psíquico"
0.916515426497278,"Psíquico"
0.919879640962872,"Psíquico"
0.941369227666868,"Psíquico"
0.921607178866707,"Psíquico"
0.898265779391006,"Psíquico"
0.922766686832023,"Psíquico"
0.899324460576729,"Psíquico"
0.883040935672515,"Psíquico"
0.888283928211333,"Psíquico"
0.880048959608323,"Psíquico"
0.891964105666465,"Psíquico"
0.910138718890249,"Psíquico"
0.897711232103247,"Psíquico"
0.906432748538012,"Psíquico"
0.896299657188949,"Psíquico"
0.875428513813269,"Psíquico"
0.922917927001412,"Psíquico"
0.885763258721516,"Psíquico"
0.871277029783762,"Psíquico"
0.887902896776826,"Psíquico"
0.913339382940109,"Psíquico"
0.919388989715669,"Psíquico"
0.932798951401492,"Psíquico"
0.866303690260133,"Psíquico"