"tweet","comportamental","fisiologico","psiquico","dhTweet","idUsuario","validadoEspec","idTweet","label"
"Não tenho mais prazer algum em sair de casa, só saio se for com meu pai. Faz mais de mês que não dou role e isso de certa forma é ótimo. De todas as vezes que chorei, essa é a primeira que eu me sinto bem por não ter amigo nenhum, e é estranho.","TRUE","FALSE","TRUE","2019-10-02","Renhique","TRUE","3425","2"
"Sem ânimo pla nada no momento.","FALSE","FALSE","TRUE","2019-10-12","Cebolinha1909","TRUE","3943","3"
"Sou um inútil","FALSE","FALSE","TRUE","2019-10-12","GoFshit","TRUE","3980","3"
"Bom dia,  hoje tem música nova","FALSE","FALSE","FALSE","2019-10-15","M_a_oliveeira","TRUE","5145","0"
"Música: dá uma cavalgada, uma kikada, uma sentada, uma jogada, uma empinada, uma parada.. 
Eu: af  que droga de amor, tmnc","FALSE","FALSE","FALSE","2019-10-15","machado_kaiane","TRUE","5148","0"
"Q achem ruim mas n quero sair c aquele guria nojenta n","FALSE","FALSE","FALSE","2019-10-13","praytoldr","TRUE","4617","0"
"eu so n me mato pq nao quero ir pro inferno","TRUE","FALSE","FALSE","2019-10-14","_crfmari","TRUE","5281","2"
"so n me mato por meus pais","TRUE","FALSE","FALSE","2019-10-13","zbrokenheartz","TRUE","5282","2"
"ok eu sou um fardo na vida das pessoas","FALSE","FALSE","TRUE","2019-10-12","isabelyada","TRUE","4122","3"
"Antes de tudo,o que é depressão 
A sensação persistente de tristeza ou perda de interesse que caracteriza a depressão pode levar a uma variedade de sintomas físicos e comportamentais que podem incluir alterações no sono, apetite, concentração, comportamento diário ou autoestima","FALSE","FALSE","TRUE","2019-09-19","TevSansou","TRUE","2761","3"
"Hoje eu acordei sentindo que sou um fardo mt pesado para as pessoas ao meu redor, slc","FALSE","FALSE","TRUE","2019-10-12","AnaCaro70618437","TRUE","4127","3"